#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2014 01 04 02 20 323  6.3 999 99.0 9999
2014 01 04 02 30 320  6.5 999 99.0 9999
2014 01 04 02 40 326  5.8 999 99.0 9999
2014 01 04 02 50 322  7.1 317 11.1 0152
2014 01 04 03 00 325  7.4 999 99.0 9999
2014 01 04 03 10 315  6.9 999 99.0 9999
2014 01 04 03 20 323  6.2 999 99.0 9999
2014 01 04 03 30 323  6.6 999 99.0 9999
2014 01 04 03 40 321  6.4 999 99.0 9999
2014 01 04 03 50 329  6.4 318 10.7 0251
2014 01 04 04 00 323  6.8 999 99.0 9999
2014 01 04 04 10 318  7.0 999 99.0 9999
2014 01 04 04 20 326  7.5 999 99.0 9999
2014 01 04 04 30 330  6.5 999 99.0 9999
2014 01 04 04 40 334  5.9 999 99.0 9999
2014 01 04 04 50 337  5.2 343 10.2 0415
2014 01 04 05 00 340  5.1 999 99.0 9999
2014 01 04 05 10 318  4.8 999 99.0 9999
2014 01 04 05 20 324  4.9 999 99.0 9999
2014 01 04 05 30 324  4.5 999 99.0 9999
2014 01 04 05 40 326  4.7 999 99.0 9999
2014 01 04 05 50 341  4.1 324  7.7 0457
2014 01 04 06 00 326  4.0 999 99.0 9999
2014 01 04 06 10 346  3.4 999 99.0 9999
2014 01 04 06 20 342  3.8 999 99.0 9999
2014 01 04 06 30   1  3.4 999 99.0 9999
2014 01 04 06 40 345  3.5 999 99.0 9999
2014 01 04 06 50 335  3.4 333  5.8 0559
2014 01 04 07 00 343  2.8 999 99.0 9999
2014 01 04 07 10 333  2.9 999 99.0 9999
2014 01 04 07 20 332  2.4 999 99.0 9999
2014 01 04 07 30 335  2.4 999 99.0 9999
2014 01 04 07 40 328  1.9 999 99.0 9999
2014 01 04 07 50 309  1.1 346  5.2 0654
2014 01 04 08 00 328  1.5 999 99.0 9999
2014 01 04 08 10 337  1.1 999 99.0 9999
2014 01 04 08 20  30  1.2 999 99.0 9999
2014 01 04 08 30  31  1.0 999 99.0 9999
2014 01 04 08 40  13  0.7 999 99.0 9999
2014 01 04 08 50  24  1.5 328  3.3 0756
2014 01 04 09 00 109  0.5 999 99.0 9999
2014 01 04 09 10 111  0.4 999 99.0 9999
2014 01 04 09 20 235  1.2 999 99.0 9999
2014 01 04 09 30 205  0.5 999 99.0 9999
2014 01 04 09 40 264  1.1 999 99.0 9999
2014 01 04 09 50 261  0.6 278  3.1 0934
2014 01 04 10 00 228  1.1 999 99.0 9999
2014 01 04 10 10 220  1.5 999 99.0 9999
2014 01 04 10 20 243  1.1 999 99.0 9999
2014 01 04 10 30 276  1.1 999 99.0 9999
2014 01 04 10 40 253  2.1 999 99.0 9999
2014 01 04 10 50 251  2.0 238  4.0 1046
2014 01 04 11 00 231  1.8 999 99.0 9999
2014 01 04 11 10 220  2.2 999 99.0 9999
2014 01 04 11 20 237  2.3 999 99.0 9999
2014 01 04 11 30 224  2.5 999 99.0 9999
2014 01 04 11 40 232  2.1 999 99.0 9999
2014 01 04 11 50 235  3.0 221  4.7 1149
2014 01 04 12 00 241  2.8 999 99.0 9999
2014 01 04 12 10 237  3.0 999 99.0 9999
2014 01 04 12 20 240  3.8 999 99.0 9999
2014 01 04 12 30 249  4.3 999 99.0 9999
2014 01 04 12 40 242  5.0 999 99.0 9999
2014 01 04 12 50 252  4.7 242  7.0 1230
2014 01 04 13 00 250  4.5 999 99.0 9999
2014 01 04 13 10 238  4.3 999 99.0 9999
2014 01 04 13 20 228  4.3 999 99.0 9999
2014 01 04 13 30 221  4.1 999 99.0 9999
2014 01 04 13 40 208  4.4 999 99.0 9999
2014 01 04 13 50 209  5.1 207  7.5 1250
2014 01 04 14 00 205  5.3 999 99.0 9999
2014 01 04 14 10 205  5.1 999 99.0 9999
2014 01 04 14 20 205  5.3 999 99.0 9999
